year,ch_leader,ch_premier,us_president,us_secretary,uk_minister,fr_president,de_chancellor,jp_minister,kr_president
1946,,,杜鲁门,伯恩斯,艾德礼,,,,金九
1947,,,杜鲁门,伯恩斯/马歇尔,艾德礼,,,吉田茂/片山,金九/李承晚
1948,,,杜鲁门,马歇尔,艾德礼,,,片山/芦田均/吉田茂,李承晚
1949,毛泽东,周恩来,杜鲁门,马歇尔/艾奇逊,艾德礼,,,吉田茂,李承晚
1950,毛泽东,周恩来,杜鲁门,艾奇逊,艾德礼,,阿登纳,吉田茂,李承晚
1951,毛泽东,周恩来,杜鲁门,艾奇逊,艾德礼/邱吉尔,,阿登纳,吉田茂,李承晚
1952,毛泽东,周恩来,杜鲁门,艾奇逊,邱吉尔,,阿登纳,吉田茂,李承晚
1953,毛泽东,周恩来,杜鲁门/艾森豪威尔,艾奇逊/杜勒斯,邱吉尔,,阿登纳,吉田茂,李承晚
1954,毛泽东,周恩来,艾森豪威尔,杜勒斯,邱吉尔,,阿登纳,吉田茂/鸠山,李承晚
1955,毛泽东,周恩来,艾森豪威尔,杜勒斯,邱吉尔/艾登,,阿登纳,鸠山,李承晚
1956,毛泽东,周恩来,艾森豪威尔,杜勒斯,艾登,,阿登纳,鸠山/石桥,李承晚
1957,毛泽东,周恩来,艾森豪威尔,杜勒斯,艾登/麦克米伦,,阿登纳,石桥/岸信,李承晚
1958,毛泽东,周恩来,艾森豪威尔,杜勒斯,麦克米伦,,阿登纳,岸信,李承晚
1959,毛泽东,周恩来,艾森豪威尔,杜勒斯/赫脱,麦克米伦,戴高乐,阿登纳,岸信,李承晚
1960,毛泽东,周恩来,艾森豪威尔,赫脱,麦克米伦,戴高乐,阿登纳,岸信/池田勇人,
1961,毛泽东,周恩来,艾森豪威尔/肯尼迪,赫脱/腊斯克,麦克米伦,戴高乐,阿登纳,池田勇人,
1962,毛泽东,周恩来,肯尼迪,腊斯克,麦克米伦,戴高乐,阿登纳,池田勇人,
1963,毛泽东,周恩来,肯尼迪/约翰逊,腊斯克,麦克米伦/道格拉斯/霍姆,戴高乐,阿登纳/艾哈德,池田勇人,
1964,毛泽东,周恩来,约翰逊,腊斯克,道格拉斯/霍姆/威尔逊,戴高乐,艾哈德,池田勇人/佐藤荣作,朴正熙
1965,毛泽东,周恩来,约翰逊,腊斯克,威尔逊,戴高乐,艾哈德,佐藤荣作,朴正熙
1966,毛泽东,周恩来,约翰逊,腊斯克,威尔逊,戴高乐,艾哈德/基辛格,佐藤荣作,朴正熙
1967,毛泽东,周恩来,约翰逊,腊斯克,威尔逊,戴高乐,基辛格,佐藤荣作,朴正熙
1968,毛泽东,周恩来,约翰逊,腊斯克,威尔逊,戴高乐,基辛格,佐藤荣作,朴正熙
1969,毛泽东,周恩来,约翰逊/尼克松,腊斯克/罗杰斯,威尔逊,戴高乐/蓬皮杜,基辛格/勃兰特,佐藤荣作,朴正熙
1970,毛泽东,周恩来,尼克松,罗杰斯,威尔逊/希思,蓬皮杜,勃兰特,佐藤荣作,朴正熙
1971,毛泽东,周恩来,尼克松,罗杰斯,希思,蓬皮杜,勃兰特,佐藤荣作,朴正熙
1972,毛泽东,周恩来,尼克松,罗杰斯,希思,蓬皮杜,勃兰特,佐藤荣作/田中角荣,朴正熙
1973,毛泽东,周恩来,尼克松,罗杰斯/基辛格,希思,蓬皮杜,勃兰特,田中角荣,朴正熙
1974,毛泽东,周恩来,尼克松/福特,基辛格,希思/威尔逊,蓬皮杜/德斯坦,勃兰特/施密特,田中角荣/三木,朴正熙
1975,毛泽东,周恩来,福特,基辛格,威尔逊,德斯坦,施密特,三木,朴正熙
1976,毛泽东,周恩来/华国锋,福特,基辛格,威尔逊/卡拉汉,德斯坦,施密特,三木/福田,朴正熙
1977,,华国锋,福特/卡特,基辛格/万斯,卡拉汉,德斯坦,施密特,福田,朴正熙
1978,邓小平,华国锋,卡特,万斯,卡拉汉,德斯坦,施密特,福田/大平正芳,朴正熙
1979,邓小平,华国锋,卡特,万斯,卡拉汉/撒切尔,德斯坦,施密特,大平正芳,朴正熙/崔圭夏
1980,邓小平,华国锋/赵紫阳,卡特,万斯/马斯基,撒切尔,德斯坦,施密特,大平正芳/伊东/铃木,崔圭夏/全斗焕
1981,邓小平,赵紫阳,卡特/里根,马斯基/黑格,撒切尔,德斯坦/密特朗,施密特,铃木,全斗焕
1982,邓小平,赵紫阳,里根,黑格/舒尔茨,撒切尔,密特朗,施密特/科尔,铃木/中曾根康弘,全斗焕
