year,name,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
1950,李承晚,蒋介石,南朝鲜,美李,吉田,麦克阿瑟,季里诺,保大,李蒋,国民党,铁托
1955,李承晚,吴庭艳,美李,蒋介石,卖国,廖文毅,美吴,美萨,龚品梅,南朝鲜,南越
1960,朴正熙,张勉,美李,许政,李承晚,美朴,美张,吴庭艳,阮庆,美吴,美伪
1965,朴正熙,美朴,日朴,侬,傀儡,阮高,美吴,捷修,朴,美伪,朴日
1970,朴正熙,美朴,美伪,朴伪,阮文绍,侬,胡风,李光耀,给朗诺,傀儡,叛国
1975,朴正熙,美朴,阮文绍,和朗诺,朴伪,美伪,傀儡,吴庭艳,同朗诺,南朝鲜,朗诺
1980,全斗焕,李承晚,黎笋,美伪,南朝鲜,朴正熙,金大中,倒行逆施,对黎笋,美帝,金泳三
1985,全斗焕,卢泰愚,民正党,金大中,金泳三,在野党,全敬焕,贿选,新民党,解散国会,下台
1990,卢泰愚,金泳三,黄寅性,中曾根,海部,宫泽,村山,村山富市,拉莫斯,海部俊树,细川
1995,金泳三,金大中,青瓦台,王鼎昌,小渊,金钟泌,李洪九,村山,苏哈托,桥本,贝里沙
2000,金大中,卢武铉,金正日,金泳三,朴泰俊,青瓦台,李汉东,高建,金永南,川口,白南舜
2005,卢武铉,李明博,金大中,安倍,麻生,安倍晋三,李海,韩升洙,鸠山,町村,日本首相
2010,李明博,朴槿惠,野田,日本首相,鸠山由纪夫,鸠山,佳彦,柳明桓,苏西洛,萨科齐,安倍晋三
2015,朴槿惠,文在寅,弹劾,佐科,陈庆炎,马杜罗,特梅尔,奥巴马,马克里,库琴斯基,向塞西
2020,文在寅,尹锡悦,菅义伟,岸田文雄,安倍晋三,拜登,日本首相,尼克松,马茂,泽曼,佐科
