year,ch_leader,ch_premier,us_president,us_secretary,uk_minister,fr_president,de_chancellor,jp_minister,kr_president
1946,,,420.0,0.0,38.0,,,,4.0
1947,,,625.0,825.0,78.0,,,27.0,20.0
1948,,,407.0,545.0,69.0,,,65.0,51.0
1949,1786.0,389.0,696.0,1646.0,123.0,,,20.0,208.0
1950,1664.0,704.0,1996.0,964.0,273.0,,127.0,26.0,2058.0
1951,2420.0,379.0,1067.0,418.0,263.0,,262.0,37.0,430.0
1952,2125.0,637.0,771.0,728.0,204.0,,289.0,66.0,584.0
1953,2116.0,698.0,1366.0,1321.0,247.0,,531.0,9.0,3572.0
1954,1369.0,2217.0,539.0,1992.0,217.0,,316.0,67.0,1413.0
1955,1337.0,1477.0,702.0,1396.0,660.0,,410.0,340.0,478.0
1956,1400.0,2693.0,695.0,1723.0,904.0,,463.0,658.0,303.0
1957,1370.0,2486.0,2654.0,1763.0,703.0,,567.0,809.0,258.0
1958,1845.0,1331.0,2494.0,3236.0,646.0,,385.0,3020.0,498.0
1959,1865.0,1554.0,1423.0,1081.0,449.0,555.0,783.0,1942.0,449.0
1960,4548.0,3089.0,4888.0,659.0,316.0,796.0,537.0,4866.0,
1961,2292.0,1897.0,4458.0,906.0,106.0,465.0,257.0,85.0,
1962,1659.0,1161.0,5039.0,672.0,396.0,693.0,233.0,63.0,
1963,2029.0,2224.0,4083.0,740.0,457.0,781.0,274.0,13.0,
1964,3232.0,3365.0,2949.0,767.0,303.0,466.0,198.0,49.0,295.0
1965,2629.0,2744.0,5535.0,562.0,462.0,324.0,151.0,63.0,916.0
1966,6018.0,1466.0,3014.0,416.0,210.0,188.0,69.0,47.0,190.0
1967,4066.0,964.0,1453.0,153.0,112.0,69.0,20.0,68.0,17.0
1968,2197.0,485.0,922.0,66.0,130.0,99.0,42.0,59.0,11.0
1969,2067.0,528.0,2377.0,94.0,25.0,65.0,100.0,100.0,42.0
1970,1662.0,1326.0,3709.0,497.0,45.0,40.0,34.0,140.0,321.0
1971,1557.0,1798.0,2971.0,203.0,38.0,63.0,3.0,80.0,699.0
1972,765.0,1737.0,3077.0,72.0,48.0,71.0,26.0,146.0,199.0
1973,778.0,1698.0,443.0,328.0,92.0,298.0,75.0,53.0,555.0
1974,697.0,795.0,172.0,154.0,219.0,140.0,105.0,61.0,1339.0
1975,819.0,869.0,419.0,214.0,50.0,162.0,159.0,82.0,717.0
1976,4623.0,7135.0,70.0,87.0,53.0,86.0,53.0,79.0,425.0
1977,,3508.0,380.0,201.0,40.0,95.0,56.0,186.0,437.0
1978,1648.0,2282.0,693.0,175.0,50.0,90.0,90.0,338.0,382.0
1979,1227.0,2101.0,1421.0,268.0,261.0,150.0,139.0,139.0,264.0
1980,937.0,2003.0,1582.0,290.0,130.0,287.0,197.0,691.0,392.0
1981,724.0,2083.0,2769.0,823.0,239.0,589.0,292.0,624.0,264.0
1982,837.0,2230.0,2190.0,844.0,344.0,290.0,390.0,647.0,139.0
1983,1980.0,2020.0,2110.0,586.0,227.0,505.0,356.0,87.0,35.0
1984,1321.0,2697.0,2003.0,325.0,385.0,495.0,396.0,119.0,23.0
1985,1223.0,2285.0,1714.0,398.0,299.0,218.0,304.0,52.0,29.0
1986,966.0,2175.0,1740.0,318.0,284.0,287.0,184.0,71.0,40.0
1987,1482.0,3792.0,1756.0,535.0,268.0,287.0,537.0,171.0,150.0
1988,916.0,2423.0,1514.0,634.0,376.0,358.0,260.0,259.0,253.0
1989,3631.0,3344.0,1750.0,558.0,312.0,180.0,218.0,220.0,107.0
1990,2723.0,4456.0,894.0,482.0,352.0,215.0,350.0,81.0,99.0
1991,3147.0,5067.0,858.0,859.0,358.0,172.0,150.0,160.0,28.0
1992,2513.0,3667.0,839.0,,344.0,256.0,258.0,105.0,172.0
1993,3626.0,2615.0,1459.0,467.0,241.0,216.0,416.0,141.0,164.0
1994,4262.0,4092.0,1279.0,397.0,205.0,190.0,315.0,245.0,296.0
1995,4828.0,3759.0,1130.0,351.0,363.0,549.0,373.0,146.0,225.0
1996,6731.0,4405.0,1023.0,283.0,174.0,565.0,236.0,143.0,139.0
1997,8404.0,4434.0,980.0,356.0,215.0,496.0,174.0,120.0,142.0
1998,6657.0,4294.0,2089.0,302.0,438.0,289.0,408.0,196.0,372.0
1999,7286.0,2701.0,1306.0,234.0,216.0,257.0,309.0,160.0,147.0
2000,7471.0,2583.0,1400.0,261.0,127.0,278.0,157.0,,390.0
2001,9374.0,2731.0,2179.0,501.0,323.0,207.0,205.0,,272.0
2002,9990.0,3113.0,2055.0,461.0,377.0,301.0,216.0,432.0,238.0
