year,ch_chairman,ch_premier,us_president,us_secretary
1946,,,杜鲁门,伯恩斯
1947,,,杜鲁门,伯恩斯/马歇尔
1948,,,杜鲁门,马歇尔
1949,毛泽东,周恩来,杜鲁门,马歇尔/艾奇逊
1950,毛泽东,周恩来,杜鲁门,艾奇逊
1951,毛泽东,周恩来,杜鲁门,艾奇逊
1952,毛泽东,周恩来,杜鲁门,艾奇逊
1953,毛泽东,周恩来,杜鲁门/艾森豪威尔,艾奇逊/杜勒斯
1954,毛泽东,周恩来,艾森豪威尔,杜勒斯
1955,毛泽东,周恩来,艾森豪威尔,杜勒斯
1956,毛泽东,周恩来,艾森豪威尔,杜勒斯
1957,毛泽东,周恩来,艾森豪威尔,杜勒斯
1958,毛泽东,周恩来,艾森豪威尔,杜勒斯
1959,毛泽东,周恩来,艾森豪威尔,杜勒斯/赫脱
1960,毛泽东,周恩来,艾森豪威尔,赫脱
1961,毛泽东,周恩来,艾森豪威尔/肯尼迪,赫脱/腊斯克
1962,毛泽东,周恩来,肯尼迪,腊斯克
1963,毛泽东,周恩来,肯尼迪/约翰逊,腊斯克
1964,毛泽东,周恩来,约翰逊,腊斯克
1965,毛泽东,周恩来,约翰逊,腊斯克
1966,毛泽东,周恩来,约翰逊,腊斯克
1967,毛泽东,周恩来,约翰逊,腊斯克
1968,毛泽东,周恩来,约翰逊,腊斯克
1969,毛泽东,周恩来,约翰逊/尼克松,腊斯克/罗杰斯
1970,毛泽东,周恩来,尼克松,罗杰斯
1971,毛泽东,周恩来,尼克松,罗杰斯
1972,毛泽东,周恩来,尼克松,罗杰斯
1973,毛泽东,周恩来,尼克松,罗杰斯/基辛格
1974,毛泽东,周恩来,尼克松/福特,基辛格
1975,毛泽东,周恩来,福特,基辛格
1976,毛泽东,周恩来,福特,基辛格
1977,,,福特/卡特,基辛格/万斯
1978,邓小平,,卡特,万斯
1979,邓小平,,卡特,万斯
1980,邓小平,赵紫阳,卡特,万斯/马斯基
1981,邓小平,赵紫阳,卡特/里根,马斯基/黑格
1982,邓小平,赵紫阳,里根,黑格/舒尔茨
1983,邓小平,赵紫阳,里根,舒尔茨
1984,邓小平,赵紫阳,里根,舒尔茨
1985,邓小平,赵紫阳,里根,舒尔茨
1986,邓小平,赵紫阳,里根,舒尔茨
1987,邓小平,赵紫阳/李鹏,里根,舒尔茨
1988,邓小平,李鹏,里根,舒尔茨
1989,邓小平/江泽民,李鹏,里根/布什,舒尔茨/贝克
1990,江泽民,李鹏,布什,贝克
1991,江泽民,李鹏,布什,贝克
1992,江泽民,李鹏,布什,
1993,江泽民,李鹏,布什/克林顿,克里斯托弗
1994,江泽民,李鹏,克林顿,克里斯托弗
1995,江泽民,李鹏,克林顿,克里斯托弗
1996,江泽民,李鹏,克林顿,克里斯托弗
1997,江泽民,李鹏,克林顿,克里斯托弗/奥尔布赖特
1998,江泽民,李鹏/朱镕基,克林顿,奥尔布赖特
1999,江泽民,朱镕基,克林顿,奥尔布赖特
2000,江泽民,朱镕基,克林顿,奥尔布赖特
2001,江泽民,朱镕基,克林顿/布什,奥尔布赖特/鲍威尔
2002,江泽民/胡锦涛,朱镕基,布什,鲍威尔
2003,胡锦涛,朱镕基/温家宝,布什,鲍威尔
2004,胡锦涛,温家宝,布什,鲍威尔
2005,胡锦涛,温家宝,布什,鲍威尔/赖斯
2006,胡锦涛,温家宝,布什,赖斯
2007,胡锦涛,温家宝,布什,赖斯
2008,胡锦涛,温家宝,布什,赖斯
2009,胡锦涛,温家宝,布什/奥巴马,赖斯/希拉里
2010,胡锦涛,温家宝,奥巴马,希拉里
2011,胡锦涛,温家宝,奥巴马,希拉里
2012,胡锦涛/习近平,温家宝,奥巴马,希拉里
2013,习近平,温家宝/李克强,奥巴马,希拉里/克里
2014,习近平,李克强,奥巴马,克里
2015,习近平,李克强,奥巴马,克里
2016,习近平,李克强,奥巴马,克里
2017,习近平,李克强,奥巴马/特朗普,
2018,习近平,李克强,特朗普,蓬佩奥
2019,习近平,李克强,特朗普,蓬佩奥
2020,习近平,李克强,特朗普,蓬佩奥
2021,习近平,李克强,特朗普/拜登,
2022,习近平,李克强,拜登,
2023,习近平,李克强/李强,拜登,
