year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,书籍,份,播送,配制,无线电台,四开,十万余,文具,一张,六部
1947,收音机,二十部,石印,影片,十部,书籍,五部,八部,水笔,画片
1948,短波,十一部,两部,十二部,二部,马达,钢笔,无线电,两张,九部
1949,留声机,收音机,放送,放映机,无线电,唱片,十余部,乐谱,成套,十五部
1950,唱片,放送,留声机,乐谱,无线电,放映机,烘缸,印刷机,对白,电影片
1951,放送,唱片,留声机,乐曲,收音机,配音,一百多种,幻灯片,放映机,录音机
1952,唱片,收音机,放送,无线电,留声机,数百件,电视,电视机,放映机,幻灯机
1953,收音机,留声机,电视,唱片,画片,无线电,电视机,印出,片子,复制
1954,唱片,收音机,风琴,五灯,无线电,电视机,留声机,幻灯机,钢琴,印刷机
1955,留声机,唱片,收音机,幻灯机,电影机,乐谱,收报,打字机,电视机,电视
1956,唱片,留声机,磁带,发送机,录音机,录音,收音机,剧照,风琴,广播节目
1957,密纹,唱片,留声机,录音带,录音,打字机,乐谱,变速,纸带,唱机
1958,放送,磁带,录音机,唱片,留声机,录音,收音机,播送,接收机,电视机
1959,唱片,唱机,留声机,灌制,放唱,收音机,打字机,播送,风琴,电视机
1960,录影机,密纹,唱片,磁带,录音机,虫胶,录音,收音机,胶卷,幻灯
1961,录音机,唱片,灌制,录音带,录音,磁带,留声机,底版,幻灯片,收音机
1962,录音带,唱片,收音机,放送,播送,接收机,练习本,书报,拷贝,拷贝机
1963,唱片,留声机,说明书,录音,收音机,播送,幻灯片,珍藏,挂图,四部
1964,唱片,留声机,电视机,几千种,录音,收音机,喇叭,播放,播送,有线广播
1965,收音机,电视机,播送,打字机,复音,画册,幻灯片,电影机,几本,硬壳
1966,录音机,唱片,几套,胶片,卖出,每换,放送,书词,三弦,附
1967,录音机,唱片,播送,书刊,半导体,铜版,广播员,喇叭,广播室,听众
1968,唱片,清晰,中央人民广播电台,北京电台,红宝书,录音机,笛子,一部,充斥,彩色
1969,收音机,喇叭,北京电台,电池,唱机,半导体,收听广播,装订,教科书,扩大机
1970,唱片,两部,翻印,偷听,复制,喇叭,收音机,播送,录音,一部
1971,播放,收听,唱片,手表,收音机,照相,电视台,喇叭,牌,琳琅满目
1972,拷贝,收音机,闹钟,纪录片,燕牌,电视机,半导体,幻灯片,打字机,手风琴
1973,录音机,录音带,半导体,特别节目,收音机,唱片,乐谱,播放,电视机,挂图
1974,播送,电视,幻灯机,照相机,电视机,喇叭,收音机,书刊,哒,拷贝
1975,喇叭,半导体,播送,收音机,录音机,书籍,画册,心爱,书报,一亿多
1976,印制,唱片,播送,黑白,拷贝,播放,课本,电视台,制版,铅笔
1977,播放,唱片,电视机,录音机,传真机,手摇,播送,真迹,收音机,电视
1978,唱片,电唱机,磁带,录像,录音,播送,收音机,立体声,播放,收看
1979,唱片,录音机,电唱机,电视机,磁带,收音机,录相机,收看,彩色,袖珍
1980,唱片,录音带,录制,磁带,录相,播放,袖珍,两用机,录像,录音机
1981,录象机,录音带,磁带,唱片,录像,录音机,万部,录制,计算器,电唱机
1982,录音带,唱片,盒式,录象带,万盒,录音磁带,收录,万部,磁带,录象
1983,唱片,磁带,录音,灌制,立体声,录音带,电唱机,录音磁带,多部,歌片
1984,唱片,录音带,录像机,磁带,录像,磁盘,录音机,录音,录相,收音机
1985,唱片,磁带,录音带,录音磁带,盒式,放像机,唱机,录制,幻灯片,光盘
1986,唱片,录音带,磁带,录像带,录音机,袖珍,盒,立体声,录制,录像
1987,磁带,唱片,盒式,录音带,录音磁带,盒式磁带,录像带,万部,录音,录音机
1988,磁带,这盒,灌制,万部,唱片,录制,录像带,录音带,录音磁带,两盒
1989,录音带,灌制,激光唱片,唱片,盒式,磁带,音带,唱机,录音,声带
1990,录音带,磁带,唱片,录相带,录像带,万盒,激光视盘,万部,录音机,盒
1991,录音带,录像带,磁带,盒式磁带,音带,万盒,曲谱,录音,唱盘,唱片
1992,录音带,磁带,音带,这盒,盒式,录像带,白金,激光唱片,录音,万部
1993,激光唱片,磁带,录音带,盒式,录像带,影碟,唱盘,原版,专辑,录音机
1994,录音带,磁带,录像带,视盘,影碟,盒,数码,激光唱片,盒式,录音
