year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,国共,避免,煽起,终止,英美,美苏,阿塞拜疆,国回,不可避免,自相残杀
1947,印回,不可避免,印荷,冲突,英埃,英美,战争初期,破裂,挑起,反英
1948,冲突,犹,巴勒斯坦,缅甸政府,英美,赤白,荷印,巴境,美苏,武装冲突
1949,缓和,冲突,苏美,冷战,焦点,生产过剩,分歧,加剧,煽动,败北
1950,冲突,朝鲜战争,随之而来,觅致,日美,不可避免,印回,分歧,争端,克什米尔
1951,缓和,朝鲜战争,这场,休战,冲突,促成,不可避免,破裂,平息,停火
1952,休战,缓和,冲突,朝鲜战争,冷战,停战,中断,统治集团,不得不,越南战争
1953,英埃,缓和,印度支那,进行谈判,朝鲜战争,预兆,法国政府,终止,这场,煽动者
1954,印度支那,导致,加剧,这场,谈判,中断,终止,生产过剩,国际局势,冲突
1955,台湾地区,土耳其,导致,冲突,缓和,导向,远东,印度支那,谈判,加剧
1956,导致,中东,加剧,台湾地区,苏伊士,以色列,近东,美英,缓和,中东问题
1957,侵埃,苏伊士,台湾地区,冲突,缓和,以色列,埃叙,加剧,约旦,国共两党
1958,近东,中近东,法突,法国政府,导致,缓和,以色列,台湾地区,中东地区,美报
1959,导致,缓和,加剧,英法,冲突,侵埃,消除,尖锐化,冷战,谈判
1960,导致,缓和,法国政府,旷日持久,冲突,加剧,停火,谈判,戴高乐,冷战
1961,法国政府,缓和,东西方,导致,加剧,严重性,谈判,冲突,冷战,中止
1962,印中,冲突,缓和,重开,美英,美法,法国政府,这场,挑起,消除
1963,印中,中所持,缓和,加勒比,冲突,加勒比海,加剧,美法,美苏,中印
1964,缓和,冲突,加剧,土耳其政府,中印,美法,以色列,英国政府,谈判,克什米尔
1965,印巴,冲突,缓和,谋求,停火,迫在眉睫,美报,加剧,武装冲突,军事冲突
1966,印巴,缓和,冲突,加剧,美报,北越,不得不,双方,和解,停火
1967,中东,近东,越南战争,冲突,无原则,加勒比海,双方,加剧,谈判,缓和
1968,印巴,缓和,可能性,导致,越南战争,中东,谈判,和解,正常化,不休
1969,阿拉伯人,冲突,不休,阿沙维,印巴,正常化,局势,巴勒斯坦人,意味着,复兴报
1970,阿拉伯人,冲突,缓和,谈判,流血冲突,意味着,投降,抵抗运动,美苏,争端
1971,缓和,印巴,加剧,冲突,尖锐化,次大陆,这场,谈判,争端,导致
1972,中东,印巴,南亚次大陆,近东,地中海地区,加剧,缓和,导致,朝鲜半岛,国际局势
1973,中东,缓和,次大陆,印巴,阿拉伯人,加剧,日益加剧,侵越,冲突,导致
1974,中东,以色列,近东,印巴,加剧,撤军,阿拉伯人,在会谈中,强化,误会
1975,近东,以色列,冲突,中东,塞浦路斯,单方面,安哥拉,加剧,紧张局势,谈判
