year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,黑板,报上,室,发行,送金,簿,广播电台,写,电报,编者
1947,黑板报,问答,报上,栏,油印,寄,黑板,稿子,交通站,稿件
1948,收条,问事处,报上,订报,启事,特此,邮票,簿,读者,报纸
1949,卡片,查询,信箱,答问,栏,信差,收信,报上,广播台,询问
1950,匪警,询问,服务组,七局,剪报,电话,五局,书信,号码,开奖
1951,预约,报社,传递,报上,魏国君,缮写,启事,书报,纸条,印成
1952,报社,报上,订户,黑板报,密告,传票,专栏,乡邮,簿,订阅
1953,问答,发电报,发报,电报,黑板报,更正,书报,订阅,信件,一栏
1954,邮局,信后,辟,报纸杂志,意见箱,电报,北京日报,报上,争相,编辑部
1955,传递,问答,电报,报社,姓名,填写,几十封,邮局,报刊,报上
1956,发电报,邮局,订户,预约,记下来,存取,报刊,小报,上读,收订
1957,邮局,簿,交换所,电话,黑板报,文书,书报,报上,储蓄所,署名
1958,信箱,小报,邮局,电话号码,报上,电话,收订,卡片,订报,栏
1959,发电报,电话,报上,寄信,地址,传递,写信,报纸杂志,读者来信,专栏
1960,意见簿,投递,书报,写个,报刊杂志,报上,总机,写稿,来信,传递
1961,醇夫,号码,电话,写信,报上,温公,地址,电话号码,总机,编辑部
1962,号码,书报,读者来信,通信,刊物,来信,书店,编辑部,副刊,收听
1963,书报,大字报,报上,本子,广告,写信,陈淑贤,书店,图书,书名
1964,黑板报,电话,话务员,报上,地址,注明,登记,读者来信,写信,纸条
1965,黑板报,电话,电话号码,大字报,号码,寄给,读者来信,浆糊,署名,询问
1966,电话,广告,信封,栏,售书,稿件,摘录,剪下来,寄给,邮票
1967,读者,大字报,本刊,通报,纸条,报上,此文,争相,借阅,卡片
1968,登载,家信,寄给,接待站,中央人民广播电台,写信,大字报,电话,纪念章,收集
1969,大字报,报上,来信,家信,包裹,对不上,电话,早晚,挂不上,机车组
1970,报上,打电话,署名,书信,一封信,包裹,黑板报,电话,大字报,来信
1971,邮局,通知,传递,本子,发报,话务员,包裹,地址,纸条,邮票
1972,地址,来信,邮所,包裹,书信,本子,不详,报上,一封,投递
1973,投递,板报,读者,图书,信件,报上,书信,来信,邮局,电话号码
1974,电话号码,查询,报上,板报,来信,黑板报,编者按,租书,电话,日记
1975,板报,报上,图书,投递,租书,书信,通知,宇宙飞船,黑板报,中文
1976,长途电话,来稿,报上,学习材料,求救,编辑部,印发,用报,对不上,违法
1977,报上,来信,一版,译码,广播电台,长途电话,邮局,窃听,印行,通告
1978,电话,报社,电话号码,报上,地址,注明,稿件,姓名,专栏,来信
1979,信箱,报上,邮局,纸条,电话,登,广告,头条,报社,信函
1980,电话号码,邮局,电话,广告,密码,登出,报上,号码,话务员,报社
1981,报社,邮购,启事,长途电话,来函,订户,邮局,信箱,电话,借书
1982,电话号码,信箱,报刊,编号,电话,报纸杂志,查询,来函,邮局,启事
1983,邮局,电话号码,报刊,报社,名片,订户,电话,印鉴,售票,广告
1984,电话号码,匿名,电话,簿,电传,报上,长途电话,查询,邮局,报刊
1985,电话号码,邮局,信箱,电话,报上,海外版,来函,布告,号码,查询
1986,电话号码,电话,报刊,信箱,传真,邮局,加急,相片,告示,查询
1987,电话号码,地址,电话,电传,信函,服务台,用户电报,告示,终端,报上
1988,电话号码,电话,专线电话,查询,簿,邮局,服务台,信箱,信函,电传
1989,电话号码,簿,电话,信箱,邮政编码,号码,邮局,信函,报刊,匿名
1990,邮政编码,信箱,电话号码,号码,电话,电传,邮局,查询,地址,公开栏
1991,电话号码,查询,邮局,信箱,热线,邮政编码,号码,服务台,磁卡,电传
1992,电话号码,服务台,查询,邮编,信箱,电话,电传,函件,邮局,热线
1993,服务台,电话,邮政编码,号码,话音,留言,热线电话,拨通,传真,电话号码
1994,电话号码,信箱,服务台,号码,查询,启事,电话,告知,传真,拨通
1995,信箱,查询,传真,电子邮件,热线,服务台,语音信箱,电话号码,号码,传呼
