year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,该台,中央日报,标题,该刊,报纸,总社,摘引,登载,播音,广播电台
1947,问答,广播电台,刊登,报上,稿件,主办,报纸,广播,密勒,该台
1948,刊登,启事,报纸,登载,问事处,务请,出刊,特此,报,写稿
1949,启事,广播台,文内,电报,播发,报纸,广播,寄,报,稿件
1950,广播,来稿,七局,披露,匪警,头奖,广播台,收听,转交,美国之音
1951,抄收,书报,广播,读者来信,报社,转播,登载,启事,快报,本刊
1952,广播,播音,读者来信,收听,光明日报,广播电台,短评,报社,刊登,报上
1953,更正,发报,问答,投稿,稿件,广播,收报,电报,写稿,发电报
1954,电台,北京日报,专栏,中国青年报,中央人民广播电台,电报,编辑部,广播,栏,辟
1955,几十封,刊出,党报,编者按,报刊,代号,传递,刊登,转播,投稿
1956,上读,投稿,登出,转播,编辑部,自办,副刊,南方日报,光明日报,报刊
1957,登,投稿,北京日报,转播,八版,更正,电视节目,栏,新华通讯社,广播节目
1958,刊出,收听,副刊,编辑部,播音,这则,信箱,广播电台,录音,小报
1959,传递,读者来信,电视台,广播电台,转播,实况,党报,播送,编辑部,第八版
1960,新湘,编辑部,转播,期刊,专栏,电视,北京日报,刊物,来信,收听
1961,醇夫,转播,温公,北京电视台,读者来信,编辑部,北京人民广播电台,通话,收听,电视
1962,转播,副刊,投书,书报,编辑部,读者来信,登出,专栏,广播电台,转发
1963,转播,栏,北京电视台,署名文章,体育报,北京人民广播电台,北京晚报,口头,频率,读者来信
1964,收听,转播,中央人民广播电台,党报,实况,播发,署名,专栏,读者来信,登载
1965,转播,摄影记者,北京电台,副刊,编辑部,北京人民广播电台,编委会,黑板报,实况,读者来信
1966,广播电台,登,北京电台,读者,转播,报社,登载,繁星,特写,党刊
1967,此文,转播,听众,转载,北京电台,广播电台,光明日报,本刊,稿件,北京人民广播电台
1968,中央人民广播电台,小报,刊登,播送,转载,登载,长周,寄给,安塔拉,北京电台
1969,广播电台,登载,报上,本版,电视,刊登,公众,编者按,北京电台,写稿
1970,墙报,署名,黑板报,报上,塔斯社,字面上,讯号,新闻记者,讲演,播送
1971,编辑部,长周,如下,刊登,本版,收听,广播电台,传递,标题,几篇
1972,转播,中央台,体育节目,报上,本版,广播电台,电视台,北京电视台,墙报,人民日报
1973,转播,中央人民广播电台,北京人民广播电台,本版,板报,云图,画报,北京电视台,电视台,读者
1974,电话号码,编者按,广播电台,广为,出版社,查询,广播,播放,刊登,中央人民广播电台
1975,转播,板报,电视台,本版,编者按,播送,广播,投递,宇宙飞船,书信
1976,播送,来稿,转播,传送,编辑部,前天,总编辑,外均,转发,传真
1977,一版,广播电台,电视节目,转播,中央人民广播电台,北京电台,报上,摘编,唱片,窃听
1978,转播,中央人民广播电台,专栏,转载,一版,电视节目,报上,署名,实况,通讯
1979,登,播送,信箱,报上,登载,转播,头版头条,广播员,发报,电视
1980,登出,黄金时间,广告,播出,版面,登载,播放,编辑部,电视,转播
1981,北京电视台,邮购,报社,启事,中央社,北京人民广播电台,播送,播出,电视,播发
1982,信箱,登载,广播节目,报刊,新闻节目,查询,刊出,电视,报社,传送
1983,报社,传真,报刊,登有,电视节目,转载,登载,报上,中央电视台,登
1984,匿名,电话号码,传真,发回,报上,电视节目,电传,报刊,投稿,传送
1985,海外版,电视节目,报纸杂志,披露,港台,本版,播送,科学园地,中国青年报,来函
1986,栏目,登载,电视信号,电视节目,开播,报刊,中央电视台,海外版,登出,电视新闻
1987,传真,报社,电视新闻,用户电报,广播节目,播送,频道,专栏,播发,政务信息
1988,快讯,专线电话,播送,新闻节目,报刊,传送,电话号码,省台,用户电报,报社
1989,栏目,专栏,电话号码,传真,报刊,播出,政法部,通缉令,评论部,总编室
1990,邮政编码,电视节目,栏目,署名,电传,播出,摄影部,播发,见诸,报纸
1991,通讯网,热线,电话号码,用户电报,邮政编码,报刊,北京电视台,栏目,本刊,传真
1992,邮编,国际部,热线,电视会议,该台,无线,栏目,版面,传真,电视广播
1993,媒体,传真,热线电话,无线,该台,栏目,文摘,交友,播送,媒介
1994,媒体,交互,播发,传媒,点歌,汇款人,传真,电视节目,传送,播送
1995,信箱,传真,交互,热线,栏目,该台,刊播,电子邮件,登出,东方时空
1996,网上,交互,键入,电子邮件,栏目,信箱,传真,媒体,留言,交互式
1997,网上,信箱,刊播,大众传播,栏目,传真,因特网,站点,网址,热线
1998,网站,主页,站点,网址,网上,多媒体通信,栏目,mail,网页,电子邮件
1999,网站,传统媒体,搜狐,网友,BBS,在线,多媒体通信,栏目,ChinaByte,站点
2000,聊天室,网易,搜狐,COM,新浪,电子邮局,WWW,人民网,首都在线,网址
2001,搜狐,网易,在线,网站,主页,TOM,登录,南方网,页面,东方网
2002,央视国际,网站,搜狐,动画城,千龙网,新华网,登录,短信,人民网,短信息
2003,网易,短信,人民网,门户网站,搜狐,网站,手机短信,登录,短信息,点击
2004,网易,搜狐,中青网,短信,央视国际,手机短信,网站,在线,彩信,人民网
2005,手机短信,搜狐,网站,短信,登录,QQ,新华网,先锋网,搜狐网,mail
2006,新浪,搜狐,首页,博客,网等,网站,登录,新浪网,手机短信,搜狐网
2007,百度,新浪,博客,播客,发帖,短消息,手机短信,搜狐,网站,搜索
2008,搜狐,新浪,新浪网,搜狐网,QQ,网易,博客,WAP,转载,搜索引擎
2009,搜狐,网易,博客,播客,腾讯网,百度,发帖,新浪网,上传,搜狐网
2010,新浪,微博,搜狐,网易,微博上,发帖,t,博客,门户网站,QQ
2011,新浪,新浪网,发帖,微博上,腾讯,腾讯网,微博,搜狐,网易,账号
2012,新浪,微博,飞信,网易,搜狐,腾讯,博客,发布厅,私信,新浪网
2013,新浪,账号,微博,网易,微博上,发帖,搜狐,微信,博客,QQ
2014,新浪,微博,微信,账号,微博微信,客户端,微博上,博客,发帖,公号
2015,新浪,微博,公号,微信,账号,客户端,微博微信,网易,推特,博客
2016,微博,新浪,公号,微博上,微信,账号,客户端,微博微信,QQ,转发
2017,微博,新浪,公号,账号,微信,客户端,群内,微博微信,QQ,刷屏
2018,微博,公号,客户端,新浪,微信,转发,头条,老吕,社交,抖音
2019,微博,新浪,抖音,微信,客户端,账号,QQ,群中,老吕,推特
2020,微博,新浪,抖音,账号,客户端,快手,哔哩,转发,优酷,QQ
2021,微博,新浪,抖音,微信,优酷,爱奇艺,账号,哔哩,官方网站,门户网站
2022,微博,抖音,iChongqing,微信,账号,客户端,QQ,脸书,公号,头条
2023,微博,新浪,账号,社交,微信,刷屏,抖音,哔哩,门户网站,网络平台
