year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,一张,房间,本子,灯,等到,掏出,坐在,窗户,一看,簿
1947,一张,掏出,纸条,本子,椅子,路条,递给,家门口,凳子,地图
1948,桌子,封条,贴,收条,一张,卡片,衣袋,拿到,桌,钢笔
1949,本子,一张,卡片,递,两张,信封,黑板,写字,桌子,通知单
1950,本子,一张,信封,笔记本,纸条,办公桌,椅子,黑板,两张,扩音器
1951,本子,笔记本,衣袋,纸条,一张,翻阅,黑板,抽屉,粉笔,收音机
1952,笔记本,衣袋,一张,本子,掏出,日记本,沙发,铅笔,桌子,信封
1953,笔记本,纸牌,本子,桌子,电话机,一张,电话,录音机,发票,凳子
1954,本子,信封,桌子,一张,笔记本,电话机,收音机,钢笔,凳子,抽烟
1955,笔记本,耳机,一张,拍,桌子,随手,电话,本子,一看,收音机
1956,笔记本,顺手,两张,一张,卡片,打字机,掏出,椅子,耳机,电话机
1957,本子,耳机,笔记本,电话,电话机,顺手,抽屉,收音机,桌子,条子
1958,本子,口袋,耳机,电话,按动,笔记本,收音机,刷刷,匣子,掏出
1959,信封,笔记本,抽屉,本子,几张,衣袋,打字机,电铃,电话,一张
1960,电话机,本子,笔记本,号码,掏出,床头,耳机,听筒,电钮,电话
1961,笔记本,耳机,话筒,号码,本子,一张,本本,随手,桌子,电话
1962,本子,衣袋,一叠,几张,一张,信封,两张,收音机,递给,笔记本
1963,本子,一张,笔记本,照像机,纸条,照相机,衣袋,钢笔,电话机,掏出
1964,日记本,本子,笔记本,电话机,一张,信封,纸条,几张,掏出,电话
1965,本子,笔记本,耳机,相片,一张,床头,随身带,电话,手电筒,纸条
1966,掏出,床头,桌子,一张,记分册,本子,邮票,驾驶室,笔记本,口袋
1967,收音机,口袋,床头,衣袋,桌子,掏出,纸条,钥匙,笔记本,扩音器
1968,箱子,红宝书,收音机,一张,兜里,掏出,大门口,进门,纸条,煤油灯
1969,笔记本,口袋,收音机,桌子,一张,掏出,小红,办公桌,话筒,椅子
1970,电话,一看,桌子,扩音器,油灯,电话机,口袋,笔记本,一张,屋里
1971,本子,笔记本,坐在,保险丝,聚精会神,床头,一张,端端正正,日记本,口袋
1972,皮包,本子,笔记本,一张,失主,坐在,钱包,一看,打字机,手里
1973,笔记本,本子,箱子,一张,包裹,荧光屏,铅笔,挎包,坐在,手里
1974,本子,玉梅,口袋,随身带,笔记本,写字,桌上,卡片,坐在,悄悄地
1975,本子,笔记本,床头,办公桌,聚精会神,悄悄地,桌子,坐在,拿来,一张
1976,本子,桌上,几张,卡片,掏出,桌子,一看,坐下,照相,笔记本
1977,本子,电钮,电话,掏出,一张,口袋,笔记本,凳子,客厅,长途电话
1978,本子,电话号码,电话,车票,桌子,笔记本,一张,电钮,纸片,进门
1979,号码,办公桌,打字机,电视屏幕,耳机,荧光屏,按钮,电话号码,按动,一张
1980,电话机,电话,一张,随身携带,屏幕,袖珍,荧光屏,号码,抽屉,信封
1981,本子,电钮,键盘,一张,办公桌,提包,随手,笔记本,荧光屏,电话
1982,笔记本,荧光屏,一张,电话机,号码,扩音器,本子,耳机,衣袋,皮包
1983,话筒,显示器,电话机,一张,荧光屏,打字机,笔记本,号码,电话号码,耳机
1984,电话机,终端机,纸条,办公桌,打字机,屏幕,一张,键盘,两张,荧光屏
1985,随手,按钮,几张,一张,终端机,打字机,一看,键盘,邮筒,号码
1986,一张,按钮,打字机,信用卡,电话,抽屉,拍照,话筒,计算机屏幕,电传
1987,终端机,按钮,电话,荧光屏,电话机,一张,几张,话筒,传真机,终端
1988,荧光屏,阅读器,屏幕,一张,抽屉,本子,话筒,键盘,两张,电话
1989,电脑,相机,耳机,磁盘,抽屉,办公桌,传真机,电话机,对讲机,电话
1990,电脑,笔记本,查询,电话机,荧光屏,一张,贼,终端,斯托尔,电话号码
1991,号码,本子,一张,收音机,电脑,相机,话筒,电话机,打印,彩照
1992,大哥大,衣兜,两张,一张,电话,电脑,键,笔记本,屏幕,打字机
1993,终端,屏幕,电话机,笔记本,电话,磁卡,一张,电脑,公用电话,名片
1994,电脑,收音机,电话号码,大哥大,笔记本,调制解调器,一张,电话,电话机,号码
1995,大哥大,电脑,电脑屏幕,菜单,电话机,电话,笔记本,一张,鼠标,智能卡
1996,屏幕,电脑,电话机,寻呼机,电脑屏幕,笔记本,手机,键盘,接收器,传真机
1997,话机,鼠标,电脑,电话机,电话,相机,收音机,寻呼机,电子信箱,屏幕
1998,BP机,电脑,屏幕,手机,大哥大,入网,显示屏,号码,查询,寻呼机
1999,BP机,手机,磁卡,鼠标,笔记本,电脑,键,电话,相机,触摸屏
2000,呼机,手机,鼠标,传呼机,电脑,笔记本,寻呼机,SIM卡,下载,点击
2001,手机,电脑,显示屏,鼠标,BP机,笔记本,下载,收银台,遥控器,收发
2002,手机,电脑,点击,呼机,传呼机,鼠标,电话,浏览,键盘,下载
2003,电脑,手机,鼠标,发短信,电话,电脑屏幕,屏幕,下载,手机号,随时随地
2004,手机,电脑,照相,数码相机,鼠标,遥控器,屏幕,电话,电子地图,下载
2005,手机,电脑,鼠标,拍照,笔记本电脑,键盘,手机卡,小灵通,浏览,下载
2006,手机,电脑,鼠标,电话,遥控器,键盘,屏幕,拨号,电话机,因特网
2007,手机,电脑,鼠标,小灵通,邮箱,轻点,屏幕,电话,下载,笔记本电脑
2008,手机,电脑,鼠标,MP3,键盘,电话,轻点,相机,网页,随身带
2009,手机,电脑,鼠标,电话,浏览,网页,屏幕,下载,ATM,上网
2010,手机,电脑,鼠标,二维码,天翼,下载,遥控器,上网,手机卡,终端
2011,电脑,手机,鼠标,遥控器,网上银行,上网,界面,屏幕,刷,浏览
2012,手机,电脑,鼠标,刷,充电器,笔记本,按键,下载,电话,浏览器
2013,手机,电脑,二维码,刷,鼠标,嘀嘀,扫一扫,钱包,iPad,屏幕
2014,手机,电脑,二维码,刷,iPad,下载,扫一扫,屏幕,网页,鼠标
2015,手机,电脑,应用软件,下载,二维码,应用程序,APP,钱包,网页,鼠标
2016,手机,电脑,下载,APP,点开,手机软件,二维码,鼠标,屏幕,网页
2017,手机,APP,电脑,二维码,扫码,下载,扫一扫,页面,一扫,一刷
2018,手机,手机软件,APP,电脑,二维码,下载,扫一扫,鼠标,扫码,一扫
2019,手机,二维码,电脑,轻点,鼠标,扫码,下载,APP,屏幕,扫一扫
2020,手机,电脑,二维码,APP,应用程序,点开,一扫,下载,扫一扫,扫码
2021,手机,二维码,电脑,下载,扫一扫,一扫,APP,点开,点击,手机软件
2022,手机,电脑,二维码,应用程序,手机软件,点开,APP,下载,点击,掏出
2023,手机,电脑,二维码,应用程序,点开,掏出,下载,点击,APP,手机软件
