year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,疾病,急性,伤寒,经济恐慌,瘟疫,足以,传染病,战争,高级官员,延缓
1947,霍乱,伤寒,猪瘟,可能性,预料,患,急性,可能,援助,鸡瘟
1948,血清,猪瘟,传染病,回归热,天花,抗毒素,炭疽,流行性,注射,疫苗
1949,疫苗,死菌,生菌,霍乱,伤寒,斑疹伤寒,兔化毒,活菌,炭疽,赤痢
1950,霍乱,白喉,伤寒,斑疹伤寒,接种,血清,菌苗,猩红热,传染病,肠炎
1951,血清,急性,霍乱,白喉,天花,伤寒,回归热,膜炎,猩红热,鼠疫
1952,传染性,并发,疫苗,天花,脑炎,病例,狂犬病,麻疹,脑膜炎,牛瘟
1953,斑疹伤寒,伤寒,赤痢,鼠疫,预防针,传染病,脑炎,黄热病,天花,霍乱
1954,白喉,伤寒,霍乱,天花,预防注射,流行性,传染病,鼠疫,麻疹,猪瘟
1955,牛瘟,麻疹,斑疹伤寒,猪瘟,病毒,霍乱,伤寒,疫苗,疾病,痘苗
1956,疫苗,塞宾,鼠疫,鸡瘟,破伤风,痢疾,免疫,猪瘟,传染病,麻疹
1957,兔化,白喉,弱毒,斑疹伤寒,疫苗,百日咳,猪瘟,卡介苗,猩红热,天花
1958,疫苗,兔化,弱毒,败血症,霍乱,猩红热,抗毒素,天花,猪瘟,白喉
1959,弱毒,疫苗,白喉,麻疹,猪瘟,牛瘟,感冒,并发,回归热,恶性
1960,兔化,疫苗,癌瘤,麻疹,伤寒,回归热,白喉,疟疾,脑炎,痢疾
1961,疫苗,流行病,传染性,人死于,口蹄疫,猪瘟,流行性,传染病,克山病,迄今为止
1962,肠道,病毒性,疫苗,结核病,传染病,脑炎,小儿麻痹,伤寒,活疫苗,肺炎
1963,兔化,弱毒,鸡瘟,霍乱,猪瘟,疫苗,新城疫,伤寒,预防注射,毒力
1964,疫苗,沙眼,麻疹,血清,注射,传染病,猪瘟,惨象,疟疾,急性
1965,疫苗,接种,麻疹,小儿,Y,活疫苗,霍乱,传染病,并发,X
1966,侵越,疾病,迄今为止,绿脓,预防,目前,迹象,远征军,和平攻势,局势
1967,疫区,侵越,足以,霍乱,局部战争,惨无人道,恐怖,战争,暴力行动,远征军
1968,霍乱,疫苗,迹象,疾病,侵越,世界各地,少爷兵,局势,预防,流行性
1969,并发,伤寒,败血症,天花,麻疹,流行,传染病,绿脓杆菌,迹象,疟疾
1970,痢疾,脑炎,绿脓杆菌,细菌,迹象,将会,疾病,麻疹,流行,双重
1971,霍乱,小儿,伤寒,麻疹,破伤风,并发,流脑,流行性,蔓延,脑炎
1972,小儿,牛痘,种牛痘,流脑,疫苗,伤寒,流感,肠道,流行性,传染病
1973,麻疹,天花,疫苗,小儿,破伤风,百日咳,疟疾,脑炎,痢疾,霍乱
1974,麻疹,天花,疫苗,结核病,霍乱,百日咳,痢疾,预防接种,行将,并发
1975,麻疹,腺病毒,小儿,新生儿,百日咳,疫苗,传染病,流感,预防,预防接种
1976,麻疹,痢疾,传染病,肠道,症状,疟疾,流行性,美国,并发,流感
1977,疟疾,流行病,并发,发病率,传染病,败血症,疾病,危机,预防,癌症
1978,天花,非洲之角,扎伊尔,感冒,流感,流行性,战争,古巴,中东地区,传染病
1979,天花病,小儿,肝炎,天花,腺病毒,疟疾,传染,癌症,人痘,预防
1980,麻风病,天花,疟疾,流感,疫苗,登革热,预防,癌症,可能性,霍乱
1981,流感,霍乱,疫苗,乙型肝炎,肝炎,狂犬病,狂犬,麻疹,癌症,鸡霍乱
1982,麻疹,天花,乙型肝炎,疫苗,霍乱,猪瘟,白喉,疟疾,注射,鼠疫
1983,密执安,弱毒,疫苗,兔化,腹泻,乙型肝炎,麻疹,乙型,传染病,流行病
1984,乙型肝炎,麻疹,白喉,携带者,百日咳,肝炎,狂犬病,表面抗原,疫苗,霍乱
1985,爱滋病,世界卫生组织,乙型肝炎,麻疹,携带者,糖丸,疫苗,牛痘,血源,肝炎
1986,艾滋病,爱滋病,麻疹,脊髓灰质炎,乙型肝炎,霍乱,血源,疫苗,乙肝,破伤风
1987,艾滋病,乙型肝炎,狂犬病,百日咳,麻疹,疫苗,天花,接种,传染病,病毒
1988,艾滋病,霍乱,甲肝,麻疹,乙型肝炎,甲型肝炎,病例,艾滋病毒,合胞,携带者
1989,艾滋病,流感,甲肝,乙型肝炎,病毒感染,接种,麻疹,白喉,病例,肝炎
1990,艾滋病,腺病毒,流感,百日咳,麻疹,疫苗,登革热,艾滋病毒,破伤风,世界卫生组织
1991,艾滋病,霍乱,病例,破伤风,甲肝,麻疹,麻风,白喉,乙型肝炎,瘟疫
1992,艾滋病,霍乱,天花,米开朗琪罗,世界卫生组织,麻疹,疟疾,痢疾,临床试验,疫苗
1993,艾滋病,霍乱,流行性,柯萨奇,病例,结核病,艾滋病毒,米氏,神经炎,肺结核
1994,艾滋病,疫苗,艾滋病毒,世界卫生组织,霍乱,携带者,海湾战争,丙型肝炎,临床试验,病毒
1995,艾滋病,博拉,出血热,病例,病毒,霍乱,流感,世界卫生组织,传染病,埃
1996,艾滋病,霍乱,疯牛病,疟疾,结核病,麻疹,脊髓灰质炎,博拉,登革热,肝炎
1997,艾滋病,疯牛病,霍乱,脊髓灰质炎,流感,博拉,携带者,病毒,病例,疟疾
1998,艾滋病,疯牛病,结核病,乙型肝炎,疫苗,CIH,流感,病毒,病毒感染,麻疹
1999,艾滋病,流感,疯牛病,结核病,CIH,传染病,乙型肝炎,禽流感,脑炎,病毒
2000,艾滋病,艾滋病毒,博拉,疫情,病毒,传染病,脊髓灰质炎,爱虫,疟疾,丙肝
2001,艾滋病,登革热,霍乱,口蹄疫,疯牛病,出血热,黄热病,世界卫生组织,疫情,病例
2002,艾滋病,天花,登革热,霍乱,登革,WHO,疫苗,暴发,出血热,流感疫苗
2003,SARS,乙脑,黄热病,艾滋病,登革热,禽流感,流感,脑膜炎,非典型,甲肝
2004,流感,SARS,流感疫苗,登革热,非典,疫苗,暴发,肺炎,疟疾,禽流感
2005,流脑,禽流感,马尔堡,艾滋病,暴发,非典,甲肝,流感,SARS,霍乱
2006,禽流感,SARS,乙脑,艾滋病,疯牛病,脊髓灰质炎,甲肝,疫情,疫苗,病例
2007,禽流感,接种,艾滋病,疫苗,诺瓦克,流脑,疫情,病例,非典型,流感
2008,霍乱,乙脑,流脑,艾滋病,禽流感,甲肝,疫苗,狂犬病,脊髓灰质炎,麻疹
2009,甲感,甲型,H1N1,流感,疫情,接种,疫苗,对甲感,临床试验,甲流
2010,流感,麻疹,甲型,H1N1,流感疫苗,疫情,疫苗,非典,减毒,接种
2011,口蹄疫,流感,疫情,艾滋病,接种,禽流感,麻疹,非典,H1N1,丙肝
2012,脊灰,SARS,非典型,丙肝,流感,疫情,非典,艾滋病,世界卫生组织,野病毒
2013,SARS,禽流感,流感,冠状病毒,疫情,H1N1,H7N9,甲型,疫苗,流感病毒
2014,博拉,疫情,埃,暴发,西非地区,疫苗,病毒,出血热,西非,接种
2015,博拉,疫情,埃,疫苗,MERS,病毒,登革热,病例,流行病,病毒感染
2016,疫情,博拉,H5N6,禽流感,H7N9,病例,王华庆,流感,脊髓灰质炎,传染病
2017,疫情,甲型,霍乱,流感,博拉,H1N1,疟疾,禽流感,H7N9,出血热
2018,疫情,禽流感,博拉,甲流,甲型,流感,病毒感染,病毒,HPV,疟疾
2019,麻疹,疫情,登革热,霍乱,博拉,非典型,流感,疑似病例,病例,世界卫生组织
2020,新冠,病毒检测,病毒感染者,麻疹,因新冠,病毒感染,流感,自新冠,非新冠,H1N1
2021,新冠,肺炎,因新冠,病毒检测,病毒感染,疫苗,毒株,病毒传播,流感,博拉
2022,新冠,肺炎,病毒检测,病毒感染,病毒感染者,疫苗,病毒,因新冠,猴痘,毒株
2023,新冠,疫苗,病毒感染,霍乱,病毒感染者,肺炎,病毒,流感,病毒检测,支原体
