year,top 1,top 2,top 3,top 4,top 5,top 6,top 7,top 8,top 9,top 10
1946,汽车,胶皮,吉普车,数辆,十辆,一辆,自行车,大车,车,卡车
1947,自行车,马车,一辆,吉普车,二辆,小车,卡车,两辆,十二辆,百辆
1948,车子,铁轮,一辆,四辆,两辆,小车,自行车,大车,六辆,七辆
1949,自行车,一辆,汽车,马车,三轮车,两辆,胶轮,四辆,车子,人力车
1950,自行车,汽车,人力车,一辆,车子,马车,车,小车,破车,石炭
1951,自行车,胶皮,汽车,胶轮,十轮,大车,排子车,马车,铁轮,客车
1952,马车,汽车,一辆,检漏仪,小汽车,吉普车,手推车,车子,自行车,大车
1953,胶皮,小汽车,马车,一辆,汽车,胶轮,大卡车,大车,手推车,车子
1954,小汽车,一辆,手推车,胶皮,拖车,马车,四辆,胶轮,公共汽车,大车
1955,一辆,小汽车,胶轮,卧车,胶皮,两辆,卡车,大车,小轿车,三辆
1956,小汽车,一辆,两辆,胶皮,拖车,自行车,载重汽车,车子,汽车,轿车
1957,一辆,自行车,这辆,小汽车,马车,汽车,四辆,那辆,新车,两辆
1958,一辆,小汽车,三轮,自行车,卡车,汽车,轿车,马车,摩托车,这辆
1959,一辆,两辆,汽车,挂车,三辆,小汽车,三轮,马车,大卡车,自行车
1960,自行车,一辆,三轮,旧车,汽车,电瓶,三轮车,载货,手推车,两辆
1961,电瓶车,马车,拖车,自行车,一辆,汽车,手推车,这辆,车子,胶轮
1962,一辆,汽车,两辆,小推车,小汽车,自行车,挂车,车,三轮,胶轮
1963,一辆,小汽车,汽车,三轮,胶轮,自行车,大车,架子车,马车,公共汽车
1964,自行车,一辆,胶轮,小汽车,汽车,手摇,马车,手推车,车,大卡车
1965,汽车,手推车,货车,小轿车,自行车,牛车,小汽车,一辆,胶轮,马车
1966,汽车,自行车,摩托车,轿车,小汽车,手推车,车,这辆,电车,货车
1967,自行车,摩托车,汽车,小轿车,一辆,小汽车,车子,上下班,车辆,卡车
1968,自行车,摩托车,汽车,胶轮,小汽车,车,车辆,马车,吉普车,车子
1969,自行车,车,公家,汽车,三轮车,胶轮,摩托车,车子,公共汽车,客车
1970,拖车,汽车,发动机,车,大车,摩托车,马车,自行车,几辆,卡车
1971,汽车,摩托车,马车,大车,胶轮,车,卡车,板车,公共汽车,机车
1972,大车,汽车,自行车,马车,胶轮,拖车,车,摩托车,货车,同乘
1973,自行车,马车,汽车,解放牌,摩托车,大车,胶轮,牛车,车,这辆
1974,牛车,马车,自行车,汽车,吉普车,车,座车,四十多辆,卡车,手推车
1975,手推车,大车,卡车,汽车,自行车,车,架子车,解放牌,车子,轿车
1976,小汽车,自行车,小轿车,汽车,马车,卡车,胶轮,平板车,车,公共汽车
1977,一辆,汽车,自行车,马车,小汽车,车,轿车,卡车,公共汽车,吉普车
1978,一辆,小汽车,马车,汽车,自行车,三轮车,车,吉普车,摩托车,小轿车
1979,小汽车,自行车,汽车,小轿车,轿车,手推车,马车,三轮车,三轮,车
1980,自行车,小汽车,摩托车,小轿车,轿车,伸缩,车,汽车,一辆,上海牌
1981,摩托车,车,交通车,自行车,小汽车,轿车,小轿车,手推车,汽车,三轮
1982,自行车,摩托车,小汽车,小轿车,轿车,汽车,这辆,车,摩托,新车
1983,摩托车,自行车,汽车,小汽车,一辆,三轮车,面包车,马车,小轿车,车
1984,自行车,小汽车,摩托车,一辆,轿车,吉普车,汽车,大客车,小轿车,车
1985,小汽车,自行车,轿车,摩托车,小轿车,车,新车,小车,大客车,马车
1986,摩托车,自行车,轿车,车,小车,小汽车,汽车,这辆,吉普车,一辆
1987,摩托车,自行车,小汽车,小车,摩托,车,面包车,小轿车,这辆,一辆
1988,摩托车,自行车,小轿车,小汽车,一辆,吉普车,三轮车,面包车,新车,车
1989,自行车,小车,小汽车,三轮车,摩托车,小轿车,一辆,汽车,车,轿车
1990,摩托车,自行车,小轿车,小汽车,一辆,车,汽车,手扶拖拉机,面包车,几辆
1991,自行车,摩托车,小轿车,汽车,车,小汽车,面包车,一辆,剃须刀,轿车
1992,自行车,摩托车,小汽车,摩托,一辆,车,轿车,汽车,三轮车,这辆
1993,摩托车,自行车,吉普车,一辆,面包车,摩托,小汽车,轿车,小车,小轿车
1994,摩托车,自行车,小轿车,轿车,高级轿车,一辆,车,大客车,三轮车,摩托
1995,摩托车,自行车,车,轿车,小轿车,新车,面包车,两辆,一辆,夏利
1996,摩托车,轿车,自行车,三轮车,摩托,车,小轿车,一辆,面包车,桑塔纳
1997,摩托车,自行车,小轿车,轿车,车,小汽车,那辆,一辆,桑塔纳,三轮车
1998,摩托车,自行车,新车,小轿车,小车,汽车,轿车,车,吉普车,摩托
1999,摩托车,那辆,车,小轿车,面包车,出租车,轿车,一辆,新车,桑塔纳
2000,车,小轿车,摩托车,面包车,一辆,新车,农用车,桑塔纳,自行车,吉普车
2001,摩托车,车,小轿车,轿车,面包车,汽车,桑塔纳,农用车,小车,一辆
2002,摩托车,车,越野车,电动,一辆,小汽车,出租车,小轿车,三轮车,这辆
2003,摩托车,车,小轿车,农用车,用车,小汽车,小车,一辆,公交车,这辆
2004,摩托车,小轿车,车,自行车,公交车,一辆,面包车,电动,私家车,那辆
2005,车,电动,摩托车,自行车,公交车,小轿车,一辆,小车,面包车,农用车
2006,摩托车,电动,车,自行车,小汽车,一辆,农用车,桑塔纳,该车,公交车
2007,摩托车,车,自行车,电动车,三轮车,小车,电动,小轿车,公交车,面包车
2008,摩托车,小汽车,公交车,轿车,一辆,小轿车,电动,自行车,大客车,小车
2009,小轿车,摩托车,车,电动,自行车,电动车,面包车,一辆,小车,三轮车
2010,电动车,自行车,电动,车,公交车,私家车,一辆,小汽车,摩托,摩托车
2011,电动车,自行车,电动,摩托车,轿车,小汽车,车,一辆,公交车,辆
2012,电动车,摩托车,电动,轿车,自行车,小汽车,电瓶车,小轿车,一辆,面包车
2013,电动车,自行车,轿车,电动,私家车,摩托车,公交车,小轿车,一辆,车
2014,电动车,自行车,轿车,摩托车,车,电动,一辆,小汽车,小轿车,新车
2015,电动车,电动,摩托车,自行车,小车,公交车,三轮车,车,一辆,轿车
2016,电动车,电动,轿车,自行车,车,三轮车,摩托车,一辆,公交车,面包车
2017,电动车,电动,自行车,三轮车,轿车,摩托车,出租车,一辆,车,私家车
2018,电动车,电动,自行车,摩托车,三轮车,公交车,一辆,车,大巴,轿车
2019,电动车,电动,自行车,摩托车,小汽车,私家车,轻型,电瓶车,那辆,一辆
2020,电动车,电动,自行车,摩托车,私家车,小汽车,轿车,一辆,车,公交车
2021,电动车,自行车,滑板车,电动,摩托车,轿车,公交车,一辆,私家车,车
2022,电动车,自行车,电动,公交车,滑板车,摩托车,车,三轮车,巴士,轿车
