word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
功夫,工夫,足足,刨堰,顶多,纺完,夜长,个把,赶完,抵住,零二十
功夫,工夫,月工夫,还完,足足,花上,三几,大半天,半天,个把,整整
功夫,工夫,苦功,花上,琢磨,钟头,月工夫,事隔,费尽,加减法,聊
功夫,工夫,苦功,练,磨练,苦练,技巧,武工,苦学,演技,下功夫
功夫,苦功,练成,纯熟,练,上五,吹号,本领,要领,苦练,苦学
功夫,苦功,下功夫,理论书,气力,久而久之,苦于,风吹日晒,条理,大半年,力气
功夫,力气,气力,工夫,苦功,多费,用在,下功夫,何年,个头,短些
功夫,苦功,力气,工夫,下功夫,气力,苦练,大劲,过瘾,技巧,火候
功夫,气力,力气,工夫,苦功,下功夫,白费,大劲,火候,长进,多费
功夫,气力,力气,苦功,练,下功夫,工夫,上手,苦练,笨,费劲
功夫,气力,力气,苦功,下功夫,狠,动脑筋,苦练,本事,精雕细刻,琢磨
功夫,气力,力气,苦功,成器,了得,下功夫,狠,长进,细,精雕细刻
功夫,气力,演技,力气,编演,杂技,狠,画片,孙悟空,笨,苦功
功夫,苦功,力气,气力,得法,长进,前作,狠,诀窍,笨,下功夫
功夫,绣花,力气,苦功,下功夫,笨,狠,动脑筋,气力,真,务求
功夫,绣花,力气,苦功,动脑筋,气力,笨,细,下功夫,大处,有味
