word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
导师,斯大林,庆祝斯,遗容,挚爱,奠基者,恭祝,加香,敬重,虔诚,文豪
导师,敬爱,旗手,斯大林,领袖,缔造者,追念,鼓舞者,挚友,痛悼,逝世
导师,革命家,奠基者,教诲,李大钊,教导,民主主义者,邹韬奋,布尔什维克党,逸仙,追念
导师,蔡特金,布尔什维克党,火星报,李大钊,高尔基,先驱者,恩格斯,波立特,创始人,伊凡
导师,领袖,敬爱,当代,伟大,马克思列宁主义者,新世纪,战略家,思想家,解放者,列宁
导师,列宁,马克思,恩格斯,国际主义者,马克思列宁主义者,论著,放之四海而皆准,斯大林,布尔什维克党,战略家
导师,领袖,毛,敬爱,毛泽东,伟大,遗训,先行者,敬仰,缅怀,归功于
导师,马克思主义者,李四光,教授,老师,马克思,宣传家,文学家,恩格斯,约翰,哲学家
导师,教授,研究生,博士,数学家,竺可桢,副教授,物理系,生物系,硕士,学位
导师,研究生,教授,数学家,复旦,博士,副教授,物理学家,留校,留法,学位
导师,教授,院士,博士,数学系,研究生,系主任,物理系,周培源,数学家,教育系
导师,教授,副教授,数学系,研究生,博士,物理系,系主任,生物系,大学,教育系
导师,研究生,讲师,教授,博士,化学系,系主任,物理系,校长,辅导员,副教授
导师,研究生,博士,助教,数学系,生物系,理学院,来校,讲师,系主任,中文系
导师,博士,研究生,化学系,辅导员,任课,助教,讲师,硕士,老师,教授
导师,博士,研究生,辅导员,复生,硕士,我校,主讲,老师,任课,物理系
