word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
提升,升任,团中,股长,志久,见习,李永,张太平,甲级,擢升,技术员
提升,提拔,熟练工,升任,见习,五级,技术工,四级,电修厂,副段长,工长
提升,副工程师,坑下,采煤,王森,装煤,技士,工到,见习,电绞车,溜子
提升,斜井,会计师,压风机,司机长,修护,副段长,钉道,井筒,采煤机,绞车
提升,提拔,担任,调走,矿长,提为,正副,转业,副厂长,当上,工长
提升,斜井,选矿,打眼,回采,坑道,选煤,采煤,提为,放炮,井筒
提升,工程师,提拔,机械师,提为,研究员,专长,助教,副厂长,总工程师,技师
提升,提拔,提为,工程部,改任,任命,职务,见习,工程师,总工程师,重用
提升,提拔,原职,提为,中层,改任,工长,职务,降为,副手,资历
提升,提拔,提为,区队,调,校部,志愿兵,全矿,胜任,调离,校级
提升,提高,提拔,依赖于,调,更进一步,衡量,充实,劳动生产率,促使,生产率
提升,提高,增强,整体,强化,改善,水平,牵引力,推进,先导,加快
提升,提高,增强,水平,整体,改善,强化,推进,能力,推动,素质
提升,提高,增强,水平,加强,能力,进一步,改善,推动,促进,稳步
提升,提高,增强,大幅,水平,大大,能力,不断,加强,强化,改善
提升,提高,增强,能力,大幅,强化,加强,水平,改善,稳步,不断
