word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
功夫,工夫,天,钟头,半天,不到,十来,整整,晌,完了,晌午
功夫,工夫,花上,整整,钟头,费,足足,作完,顶多,一点钟,刨完
功夫,工夫,钟头,本事,两三,费,力气,半年,足足,个把,活儿
功夫,工夫,苦功夫,苦功,巧练,功到自然成,勤学,下功夫,苦练,练,看头
功夫,过硬,硬功夫,练,练成,苦练,本领,苦功,过得硬,勤学,有一手
功夫,下苦功夫,下功夫,苦功夫,力气,苦功,工夫,气力,认认真真,费气力,狠
功夫,气力,力气,下功夫,下苦功夫,工夫,不行,苦功,苦功夫,狠,个头
功夫,苦功,力气,苦心人,功力,苦功夫,戏外,下功夫,基本功,苦练,工夫
功夫,工夫,气力,力气,苦功,基本功,知费,高人,费点,苦功夫,苦心人
功夫,气力,力气,苦功,苦功夫,本钱,上下点,真功,工夫,下苦功夫,长进
功夫,气力,力气,苦功,苦功夫,诗外,下苦功夫,铁杵磨成针,苦练,长功夫,功力
功夫,诗外,下足,苦功夫,力气,苦功,下苦功夫,气力,一招一式,基本功,了得
功夫,苦功夫,下足,拳法,一招一式,铁头功,少林拳,少林,出彩,二指禅,诗外
功夫,下足,苦功夫,苦功,诗外,下苦功夫,长功夫,花足,医外,力气,上下足
功夫,下足,下绣,花足,诗外,实功夫,笨功夫,绣花,足绣,上下足,苦功夫
功夫,下足,绣花,实功夫,足绣,绣花功夫,上下足,花真,诗外,绣花功,花功
