word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
导师,斯大林,伟大,鼓舞者,敬爱,缔造者,寿辰,列宁,布尔什维克党,亲爱,大寿
导师,领袖,永别,缔造者,与世长辞,逝世,朋友,敬爱,慈父,旗手,鼓舞者
导师,革命家,列宁,国际主义者,孙逸仙,列宁主义者,久经考验,马克思,爱国主义者,当之无愧,先行者
导师,革命家,奠基人,布尔什维克党,国际主义者,用歌,伟大,领袖,杰出,缔造者,伊凡
导师,领袖,敬爱,最最,敬仰,当代,英明,万寿无疆,伟大,主席,崇敬
导师,列宁,马克思,恩格斯,毛,领袖,主席,教导,斯大林,谆谆,伟大
导师,领袖,敬爱,丰功伟绩,毛,缅怀,悼念,永垂不朽,当之无愧,伟大,崇敬
导师,马克思主义者,文学家,革命家,严老,特莱,思想家,导师们,无产阶级,宣传家,奠基者
导师,教授,博士生,博士,研究生,数学家,副博士,副教授,省身,马克思主义者,温德
导师,博士生,研究生,教授,硕士生,宁榥,副教授,博士,王竹溪,数学家,孙逢春
导师,博士生,教授,院士,博士,程民德,系主任,姜波克,王小如,副教授,彭实戈
导师,教授,博士生,博导,副教授,博士,获聘,研究生,裘法祖,系主任,讲席
导师,博士生,研究生,硕士生,本科生,教授,博导,教学型,博士,裴钢,昂海松
导师,博士生,博导,本科生,研究生,硕士生,评审权,博士,施一公,连读,蒙塔尼
导师,博士生,舒红兵,博导,博士,研究生,施一公,外校,本科生,文劲宇,导师制
导师,博士,博士生,硕士生,助力团,研究生,双导师,带制,跨学院,郑俊克,吴臻
