word,neighbour1,neighbour2,neighbour3,neighbour4,neighbour5,neighbour6,neighbour7,neighbour8,neighbour9,neighbour10
提升,股长,升任,技工,甲级,降级,提拔,一级,擢升,二级,领班
提升,提拔,见习,徒工,学徒工,升任,工长,熟练工,降为,该厂,该矿
提升,采煤,井下,截煤机,装煤,工作面,截煤,抽调,坑下,科长级,提绞
提升,卷扬机,运矿,回柱,硐室,采煤,提拔,井下,上料,运料,装岩
提升,调走,提拔,担任,炊事,萧云山,杨育才,老兵,调离,党龄,当上
提升,回采,掘进,工作面,出碴,绞车,采煤,凿岩,效率,岩巷,采区
提升,晋升,工程师,提拔,晋级,职称,担任,技术员,提为,破格,研究员
提升,晋升,破格,提拔,提为,职务,改任,称职,工程师,职称,现职
提升,晋升,提拔,破格,提为,营职,改任,团职,中层,聘任,职务
提升,破格,提拔,高职,预提,选改,提为,试职,晋职,全训,营职
提升,提高,破格,取决于,提拔,真才实学,晋升,充实,衡量,周庭,李志云
提升,提高,整体,增强,优化,竞争力,拓展,美誉度,水平,中心型,改善
提升,提高,增强,拓展,竞争力,能力,水平,优化,改善,创新力,整体
提升,提高,增强,水平,由量,能力,外塑,埃塞愿,加强,拓展,优化
提升,提高,增强,水平,大幅,通达度,能力,显著,加强,不断,服务力
提升,提高,增强,能力,强化,不断,水平,交单,加强,提增,大幅
