year,max_month,max_count,min_month,min_count,avg_count,total_count,longest,shortest,avg_length,total_length
1946,12,932,5,447,496.1666666666667,5954,5946,12,695.6357070876721,4141815
1947,3,1028,11,795,897.6666666666666,10772,8542,17,760.62532491645,8193456
1948,12,928,2,560,687.1666666666666,8246,19369,43,852.2744360902255,7027855
1949,5,1941,1,1045,1580.0,18960,32622,7,896.6695675105485,17000855
1950,7,1950,12,1348,1667.3333333333333,20008,32707,8,1045.5914134346262,20920193
1951,6,1337,5,629,1146.8333333333333,13762,73988,12,1250.70789129487,17212242
1952,8,1269,10,895,1115.4166666666667,13385,39477,10,1311.1736271946208,17550059
1953,7,1171,2,808,1066.1666666666667,12794,52202,12,1393.2427700484602,17825148
1954,11,1364,2,963,1164.4166666666667,13973,41829,10,1246.9078222285837,17423043
1955,3,1458,2,1056,1301.0833333333333,15613,57974,11,1164.252161660155,18177469
1956,7,3020,1,1211,1976.75,23721,85183,8,905.8072172336748,21486653
1957,1,2575,6,1774,2116.75,25401,41566,7,1060.2753828589425,26932055
1958,3,2759,2,1952,2338.75,28065,31714,6,961.0684126135757,26972385
1959,5,2277,8,1094,1904.3333333333333,22852,80958,6,1235.7925345702783,28240331
1960,4,2124,1,1778,1954.0,23448,49088,8,1249.9725776185603,29309357
1961,5,2008,12,1555,1832.75,21993,75488,6,982.5585413540672,21609410
1962,3,1725,10,1147,1445.6666666666667,17348,46196,4,926.8768734148028,16079460
1963,10,1455,8,693,1266.8333333333333,15202,36740,1,1069.6126825417707,16260252
1964,10,1569,2,1102,1386.3333333333333,16636,90847,8,1117.2188627073815,18586053
1965,10,1438,2,1223,1353.6666666666667,16244,49307,8,1098.1690470327505,17838658
1966,3,1222,11,789,1016.1666666666666,12194,39731,6,1220.3728062981795,14881226
1967,3,835,8,721,773.75,9285,29229,4,1339.8574044157242,12440576
1968,6,854,2,682,768.25,9219,14237,8,1321.006833712984,12178362
1969,10,931,5,739,843.9166666666666,10127,33732,15,1238.6571541423916,12543881
1970,3,959,5,766,881.0,10572,32733,15,1197.648789254635,12661543
1971,12,1063,4,830,868.6666666666666,10424,32861,9,1112.005276285495,11591543
1972,8,1403,2,923,1194.6666666666667,14336,36010,11,892.4854910714286,12794672
1973,10,1350,9,1126,1237.5,14850,47541,9,882.0149494949495,13097922
1974,8,1208,2,949,1069.8333333333333,12838,12479,11,1029.81360024926,13220747
1975,10,1239,2,995,1113.5833333333333,13363,13401,11,962.6351867095713,12863694
1976,7,1226,12,816,1022.1666666666666,12266,27835,11,1068.29512473504,13103708
1977,10,1219,5,937,1059.5,12714,36317,9,1009.5654396728016,12835615
1978,11,1248,2,959,1119.25,13431,31909,9,1051.1731814459088,14118307
1979,12,2004,2,1160,1462.75,17553,28813,10,937.3540705292543,16453376
1980,12,2408,5,2072,2270.4166666666665,27245,20515,9,719.8523765828593,19612378
1981,10,2578,2,2085,2364.8333333333335,28378,34790,7,699.4365001057157,19848609
1982,3,2564,9,1989,2361.5833333333335,28339,32808,7,703.6298740251949,19940167
1983,10,2789,6,2118,2595.5,31146,23372,9,630.2364027483464,19629343
1984,12,3125,2,2310,2664.4166666666665,31973,37818,7,626.7573577706189,20039313
1985,5,3063,4,2684,2858.5833333333335,34303,22885,9,625.8741801008658,21469362
1986,8,3082,2,2423,2790.9166666666665,33491,27878,4,642.1661341853035,21506786
1987,5,2948,11,2493,2723.3333333333335,32680,32949,10,657.939687882497,21501469
1988,1,2996,4,2434,2795.9166666666665,33551,32349,6,636.840183601085,21366625
1989,1,2895,6,1702,2503.8333333333335,30046,25578,6,678.5040937229581,20386334
1990,7,3027,2,2384,2643.25,31719,27171,10,660.6337841672184,20954643
1991,11,3053,2,2417,2818.9166666666665,33827,38130,10,600.0246844236852,20297035
1992,8,3372,2,2735,3113.75,37365,27024,8,546.02009902315,20402041
1993,5,3307,9,2763,3042.5833333333335,36511,27914,8,556.8851305086139,20332433
1994,8,3067,9,2552,2833.4166666666665,34001,20421,8,640.683303432252,21783873
1995,1,3655,10,2865,3135.8333333333335,37630,72445,6,676.2530959340951,25447404
1996,1,3368,2,2705,3094.5833333333335,37135,39639,6,678.9970916924734,25214557
