year,min_length,max_length,avg_length,total_sentences
1946,1,2024,43.43429807597758,91527
1947,1,2355,42.699161544574366,184983
1948,1,1754,42.199189841380125,161203
1949,1,4366,40.9313546031698,396618
1950,1,2945,40.240339808579094,493572
1951,1,4659,40.93519496303971,401512
1952,1,9071,42.73914927805474,394559
1953,1,2299,44.301822835867206,386760
1954,1,5406,44.67688981529298,373727
1955,1,1019,42.98254598068675,405007
1956,1,1676,40.53060050427203,504093
1957,1,1327,40.167796300261145,639883
1958,1,2292,39.7709240452586,645358
1959,1,1264,41.25702649467135,652886
1960,1,2840,43.05112233833945,650205
1961,1,2172,40.1957721905046,509531
1962,1,1148,39.957439321886135,380821
1963,1,1221,41.83489793201264,368039
1964,1,2109,41.77171214115471,421665
1965,1,1646,40.30171098348716,418765
1966,1,1190,40.37445230005377,349644
1967,1,875,44.68697813682843,265515
1968,1,534,45.17675138241521,257882
1969,1,902,45.265295342730376,265048
1970,1,1236,44.71176586117833,269857
1971,1,2850,46.6256125323147,259170
1972,1,1268,43.680113662999304,277311
1973,1,1950,42.20714630941927,293802
1974,1,3381,42.904451165781516,293923
1975,1,1419,43.435025706257726,282227
1976,1,1569,44.982288916544974,278018
1977,1,1927,43.06572449596916,284308
1978,1,1226,41.149957551665906,326279
1979,1,2492,39.94501603933346,390914
1980,1,1260,38.11901675125029,487486
1981,1,1887,37.59707905844286,499428
1982,1,1137,37.665774572104645,499947
1983,1,1388,38.008708746959435,486752
1984,1,1758,37.996461844067554,496869
1985,1,973,38.07336613795258,531226
1986,1,755,37.88819672376561,534394
1987,1,771,38.52650317809908,525786
1988,1,3142,38.06615167608607,528165
1989,1,1114,38.31009768475355,500897
1990,1,735,38.194728258867194,515693
1991,1,791,39.095917047371096,488568
1992,1,1069,39.008314220764866,493131
1993,1,1301,39.14936153930695,491338
1994,1,1664,39.49144011524136,522729
1995,1,867,40.047774370981834,603043
1996,1,817,40.67369396462478,589226
1997,1,3462,41.52863685230803,590655
1998,1,2025,41.5012002300933,592803
1999,1,3746,42.34232161947788,579940
2000,1,3943,42.94029194223499,577443
2001,1,2649,42.87592054806325,580225
2002,1,4107,43.19822697256261,574836
2003,1,1615,42.5377132443745,732024
2004,1,10095,49.22504895032941,660874
2005,1,5976,49.746018309778364,575321
2006,1,13785,49.75966952492587,616809
2007,1,6413,49.585797717742274,694663
2008,1,22957,50.19879746945747,573790
2009,1,8677,50.169005965817476,496160
2010,1,14542,50.14824856593442,490912
2011,1,22586,49.637529111471316,536730
2012,2,22245,49.894042671201134,548098
2013,2,15454,47.61063992200846,567241
2014,2,13051,47.76888269750424,595810
2015,1,19477,48.29549712710459,623935
2016,2,10986,49.25389970458061,652293
2017,1,11740,49.43016315097431,624391
2018,2,15902,49.886078124372716,622725
2019,1,1617,43.92770641529568,873397
2020,1,1865,43.636412298854374,878033
2021,1,3637,44.97151018635953,875190
2022,1,11940,46.893003628798716,761409
2023,1,1905,47.02503456487172,771014
